id,title,priority,owner,reviewer,initial_status,depends_on,issues,capabilities,write_scopes,required_acceptance,task_ref
SR-BANK-001,修復銀行首頁／合約崩潰與日期統計,P1,Claude2,Claude,backlog,,R06;R16;R28,C004;C084;C085;C093;C108;C119,apps/bank-console-web/app/page.tsx;apps/bank-console-web/app/contracts/;apps/bank-console-web/lib/home-data.ts;apps/bank-console-web/lib/contracts-data.ts;apps/bank-console-web/lib/statements.ts;apps/bank-console-web/lib/server-bank-api.ts;apps/bank-console-web/lib/bank-dev-read-models.ts;tests/unit/system-remediation/sr-bank-001/;docs/04-uat/system-remediation-20260906/SR-BANK-001.md,,docs/03-runbooks/system-remediation-20260906/SR-BANK-001.md
SR-BANK-002,銀行角色金額／PII／匯出一致隔離,P1,Gemini2,Gemini,backlog,SR-BANK-001;SR-IAM-001,R15,C005,apps/bank-console-web/lib/session.ts;apps/bank-console-web/lib/server-bank-api.ts;apps/bank-console-web/app/statements/;apps/bank-console-web/app/users/;tests/unit/system-remediation/sr-bank-002/;docs/04-uat/system-remediation-20260906/SR-BANK-002.md,,docs/03-runbooks/system-remediation-20260906/SR-BANK-002.md
SR-BANK-003,銀行證據摘要與簽章可獨立驗證,P1,Codex,Codex2,backlog,,R14,C083,apps/bank-console-web/app/artifacts/;tests/unit/system-remediation/sr-bank-003/;docs/04-uat/system-remediation-20260906/SR-BANK-003.md,,docs/03-runbooks/system-remediation-20260906/SR-BANK-003.md
SR-TENANT-LOGIN-001,租戶登入 callback 與錯誤恢復,P0,Claude,Claude2,backlog,,R02,C002,apps/tenant-console-web/app/login/;apps/tenant-console-web/app/api/auth/;apps/tenant-console-web/lib/auth/;tests/unit/system-remediation/sr-tenant-login-001/;docs/04-uat/system-remediation-20260906/SR-TENANT-LOGIN-001.md,,docs/03-runbooks/system-remediation-20260906/SR-TENANT-LOGIN-001.md
SR-IAM-001,工作階段 scope 與角色 API 權限回歸,P1,Gemini,Gemini2,backlog,FIX-IAM-UNGRANTABLE-002;UV-EXEC-003,R03;R05;R15,C005;C007;C093;C119,packages/contracts/src/iam-policy-catalog.ts;apps/api/src/common/auth/;apps/platform-admin-web/app/users/;tests/unit/system-remediation/sr-iam-001/;docs/04-uat/system-remediation-20260906/SR-IAM-001.md,,docs/03-runbooks/system-remediation-20260906/SR-IAM-001.md
SR-ADMIN-VERIFY-001,重驗已合併 P5／車隊清單修復,P1,Codex2,Codex,backlog,,R03;R04,C093;C101,apps/platform-admin-web/app/fleet-partners/;apps/platform-admin-web/app/platform-admin/p5/records/;tests/unit/system-remediation/sr-admin-verify-001/;docs/04-uat/system-remediation-20260906/SR-ADMIN-VERIFY-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ADMIN-VERIFY-001.md
SR-OPS-MAP-001,營運地圖圖磚與位置降級,P1,Claude2,Claude,backlog,,R17,C040,apps/ops-console-web/components/google-map-base-layer.tsx;apps/ops-console-web/public/mock-map-tiles/;tests/unit/system-remediation/sr-ops-map-001/;docs/04-uat/system-remediation-20260906/SR-OPS-MAP-001.md,,docs/03-runbooks/system-remediation-20260906/SR-OPS-MAP-001.md
SR-OPS-SHELL-001,營運助理遮擋與跨app導航,P1,Gemini2,Gemini,backlog,,R18;R19,C048,apps/ops-console-web/components/ops-assistant/;apps/ops-console-web/components/ops-shell.tsx;tests/unit/system-remediation/sr-ops-shell-001/;docs/04-uat/system-remediation-20260906/SR-OPS-SHELL-001.md,,docs/03-runbooks/system-remediation-20260906/SR-OPS-SHELL-001.md
SR-CONTRACT-READ-001,Ops 合約 read model 補真營運條款,P1,Codex,Codex2,backlog,SR-CONTRACT-001,N14,C134,apps/api/src/modules/regulatory-registry/contract-operational-view.service.ts;apps/api/src/modules/regulatory-registry/regulatory-registry.controller.ts;apps/api/src/modules/regulatory-registry/regulatory-registry.module.ts;tests/unit/system-remediation/sr-contract-read-001/;docs/04-uat/system-remediation-20260906/SR-CONTRACT-READ-001.md,,docs/03-runbooks/system-remediation-20260906/SR-CONTRACT-READ-001.md
SR-OPS-CONTRACT-001,合約清單接詳情並呈現可用條款,P1,Claude,Claude2,backlog,SR-CONTRACT-READ-001,N13;N14,C134,apps/ops-console-web/app/contracts/;tests/unit/system-remediation/sr-ops-contract-001/;docs/04-uat/system-remediation-20260906/SR-OPS-CONTRACT-001.md,,docs/03-runbooks/system-remediation-20260906/SR-OPS-CONTRACT-001.md
SR-FLEET-DATA-001,車行資料來源、篩選與無效按鈕,P1,Gemini,Gemini2,backlog,,R10;R11;R24,C013;C063;C064;C069,apps/fleet-partner-portal-web/lib/fleet-portal-data.server.ts;apps/fleet-partner-portal-web/app/page.tsx;apps/fleet-partner-portal-web/app/drivers/page.tsx;apps/fleet-partner-portal-web/app/vehicles/page.tsx;apps/fleet-partner-portal-web/app/trips/;tests/unit/system-remediation/sr-fleet-data-001/;docs/04-uat/system-remediation-20260906/SR-FLEET-DATA-001.md,,docs/03-runbooks/system-remediation-20260906/SR-FLEET-DATA-001.md
SR-FLEET-FORM-001,供給表單可及性及未儲存草稿,P1,Codex2,Codex,backlog,,R23;R25,C070;C120,apps/fleet-partner-portal-web/app/supply/;tests/unit/system-remediation/sr-fleet-form-001/;docs/04-uat/system-remediation-20260906/SR-FLEET-FORM-001.md;apps/fleet-partner-portal-web/components/fleet-supply-workspace.tsx;apps/fleet-partner-portal-web/lib/fleet-portal-supply.ts;apps/fleet-partner-portal-web/lib/fleet-portal-supply.server.ts,,docs/03-runbooks/system-remediation-20260906/SR-FLEET-FORM-001.md
SR-FLEET-CASE-001,車行案件回覆與 Ops timeline 閉環,P1,Claude2,Claude,backlog,SR-FLEET-DATA-001;SR-CONTRACT-001,R12,C067,apps/api/src/modules/fleet-partner/fleet-partner-case.service.ts;apps/api/src/modules/fleet-partner/fleet-partner.controller.ts;apps/api/src/modules/fleet-partner/fleet-partner.module.ts;apps/fleet-partner-portal-web/app/cases/;apps/fleet-partner-portal-web/lib/fleet-portal-data.server.ts;tests/unit/system-remediation/sr-fleet-case-001/;docs/04-uat/system-remediation-20260906/SR-FLEET-CASE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-FLEET-CASE-001.md
SR-FLEET-SETTLE-001,車行 statement 真資料與確認／爭議,P1,Gemini2,Gemini,backlog,SR-PROOF-001;SR-FLEET-CASE-001,R13,C068,apps/api/src/modules/billing-settlement/billing-settlement.service.ts;apps/fleet-partner-portal-web/app/revenue/;apps/fleet-partner-portal-web/app/statements/;apps/fleet-partner-portal-web/lib/fleet-portal-data.server.ts;tests/unit/system-remediation/sr-fleet-settle-001/;docs/04-uat/system-remediation-20260906/SR-FLEET-SETTLE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-FLEET-SETTLE-001.md
SR-CHANNEL-001,通路總覽匯出與對帳查詢,P1,Codex,Codex2,backlog,,R26,C087,apps/channel-partner-portal-web/;tests/unit/system-remediation/sr-channel-001/;docs/04-uat/system-remediation-20260906/SR-CHANNEL-001.md,,docs/03-runbooks/system-remediation-20260906/SR-CHANNEL-001.md
SR-ENTERPRISE-DATA-001,企業首頁／行程真資料及聯絡入口,P1,Claude,Claude2,backlog,,R08;R09;R16,C013;C017;C018;C093;C108;C119,apps/enterprise-dispatch-web/app/page.tsx;apps/enterprise-dispatch-web/app/trip/;apps/enterprise-dispatch-web/lib/dispatch-fixture-adapter.ts;apps/enterprise-dispatch-web/lib/enterprise-fixtures.ts;tests/unit/system-remediation/sr-enterprise-data-001/;docs/04-uat/system-remediation-20260906/SR-ENTERPRISE-DATA-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ENTERPRISE-DATA-001.md
SR-ENTERPRISE-FORM-001,企業預約乘客、日期與手機表單,P1,Gemini,Gemini2,backlog,,R20;R21;R22,C015;C016;C019;C120,apps/enterprise-dispatch-web/app/bookings/new/;apps/enterprise-dispatch-web/lib/enterprise-booking-draft.ts;apps/enterprise-dispatch-web/components/booking-form/;tests/unit/system-remediation/sr-enterprise-form-001/;docs/04-uat/system-remediation-20260906/SR-ENTERPRISE-FORM-001.md;apps/enterprise-dispatch-web/app/bookings/review/;apps/enterprise-dispatch-web/app/globals.css;apps/enterprise-dispatch-web/app/layout.tsx,,docs/03-runbooks/system-remediation-20260906/SR-ENTERPRISE-FORM-001.md
SR-ENTERPRISE-SEARCH-001,企業歷史查詢條件與結果一致,P1,Codex2,Codex,backlog,,R24,C013;C069,apps/enterprise-dispatch-web/app/bookings/page.tsx;tests/unit/system-remediation/sr-enterprise-search-001/;docs/04-uat/system-remediation-20260906/SR-ENTERPRISE-SEARCH-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ENTERPRISE-SEARCH-001.md
SR-DRIVER-WEB-001,司機 web 預覽平台分流與既有修復回歸,P1,Claude2,Claude,backlog,,R30,C049;C062,apps/driver-app/components/driver-trip-map.tsx;apps/driver-app/components/driver-trip-map.web.tsx;tests/unit/system-remediation/sr-driver-web-001/;docs/04-uat/system-remediation-20260906/SR-DRIVER-WEB-001.md,,docs/03-runbooks/system-remediation-20260906/SR-DRIVER-WEB-001.md
SR-DESIGN-001,補齊請假／學院／Host的最小可實作契約,P2,Gemini2,Gemini,backlog,,N01;N02;N03,C012;C052;C059;C071,docs/04-uat/system-remediation-20260906/feature-contracts.md;tests/unit/system-remediation/sr-design-001/;docs/04-uat/system-remediation-20260906/SR-DESIGN-001.md,,docs/03-runbooks/system-remediation-20260906/SR-DESIGN-001.md
SR-CONTRACT-001,一次整合新增功能契約與保留 migration 範圍,P2,Codex,Codex2,backlog,SR-DESIGN-001;UV-EXEC-001;UV-EXEC-002;UV-EXEC-019,N01;N02;N03;N14,C012;C052;C059;C071;C134,docs/04-api/openapi-spec.yaml;docs/04-uat/system-remediation-20260906/schema-allocation.json;tests/unit/system-remediation/sr-contract-001/;docs/04-uat/system-remediation-20260906/SR-CONTRACT-001.md;packages/contracts/src/system-remediation.ts;packages/contracts/src/index.ts;packages/api-client/src/system-remediation.ts;packages/api-client/src/index.ts,,docs/03-runbooks/system-remediation-20260906/SR-CONTRACT-001.md
SR-DEPS-001,共用依賴與 lockfile 單一寫入,P2,Claude,Claude2,backlog,,N05,C091,package.json;pnpm-lock.yaml;apps/api/package.json;tests/unit/system-remediation/sr-deps-001/;docs/04-uat/system-remediation-20260906/SR-DEPS-001.md,,docs/03-runbooks/system-remediation-20260906/SR-DEPS-001.md
SR-LEAVE-BE-001,請假資料與審核／班次連動服務,P2,Gemini,Gemini2,backlog,SR-CONTRACT-001;UV-EXEC-006;UV-EXEC-023,N01,C052,apps/api/src/modules/driver-leave/;infra/migrations/*__sr_driver_leave.sql;tests/unit/system-remediation/sr-leave-be-001/;docs/04-uat/system-remediation-20260906/SR-LEAVE-BE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-LEAVE-BE-001.md
SR-LEAVE-FE-001,司機與主管請假操作畫面,P2,Codex2,Codex,backlog,SR-CONTRACT-001,N01,C052,apps/driver-app/components/leave/;apps/driver-app/app/leave.tsx;apps/ops-console-web/app/leave/;tests/unit/system-remediation/sr-leave-fe-001/;docs/04-uat/system-remediation-20260906/SR-LEAVE-FE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-LEAVE-FE-001.md
SR-ACADEMY-BE-001,課程、測驗、完訓與重訓資料服務,P2,Claude2,Claude,backlog,SR-CONTRACT-001;UV-EXEC-006;UV-EXEC-023,N02,C059;C071,apps/api/src/modules/driver-academy/;infra/migrations/*__sr_driver_academy.sql;tests/unit/system-remediation/sr-academy-be-001/;docs/04-uat/system-remediation-20260906/SR-ACADEMY-BE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ACADEMY-BE-001.md
SR-ACADEMY-FE-001,司機學院與車行真實完訓看板,P2,Gemini2,Gemini,backlog,SR-CONTRACT-001,N02,C059;C071,apps/driver-app/components/academy/;apps/driver-app/app/academy.tsx;apps/fleet-partner-portal-web/app/training/;tests/unit/system-remediation/sr-academy-fe-001/;docs/04-uat/system-remediation-20260906/SR-ACADEMY-FE-001.md;apps/fleet-partner-portal-web/lib/academy-data.server.ts,,docs/03-runbooks/system-remediation-20260906/SR-ACADEMY-FE-001.md
SR-HOST-BE-001,Host 自車受限 read model 與所有權授權,P2,Codex,Codex2,backlog,SR-CONTRACT-001;UV-EXEC-006;UV-EXEC-023,N03,C012,apps/api/src/modules/host-view/;infra/migrations/*__sr_host_vehicle_access.sql;tests/unit/system-remediation/sr-host-be-001/;docs/04-uat/system-remediation-20260906/SR-HOST-BE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-HOST-BE-001.md
SR-HOST-FE-001,Host 唯讀工作入口與自車下鑽,P2,Claude,Claude2,backlog,SR-CONTRACT-001,N03,C012,apps/fleet-partner-portal-web/app/host/;apps/fleet-partner-portal-web/components/host/;tests/unit/system-remediation/sr-host-fe-001/;docs/04-uat/system-remediation-20260906/SR-HOST-FE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-HOST-FE-001.md
SR-WIRE-001,新功能模組／導航／資格的唯一整合寫入,P2,Gemini,Gemini2,backlog,SR-LEAVE-BE-001;SR-LEAVE-FE-001;SR-ACADEMY-BE-001;SR-ACADEMY-FE-001;SR-HOST-BE-001;SR-HOST-FE-001;SR-IAM-001;SR-OPS-SHELL-001,N01;N02;N03,C012;C052;C059;C071,apps/api/src/app.module.ts;apps/api/src/modules/shift-attendance/shift-attendance.service.ts;apps/api/src/modules/fleet-partner/supply-readiness.service.ts;packages/contracts/src/iam-policy-catalog.ts;apps/driver-app/app/_layout.tsx;tests/unit/system-remediation/sr-wire-001/;docs/04-uat/system-remediation-20260906/SR-WIRE-001.md;apps/fleet-partner-portal-web/lib/fleet-portal-nav.ts;apps/ops-console-web/lib/ops-shell-nav.ts,,docs/03-runbooks/system-remediation-20260906/SR-WIRE-001.md
SR-PUSH-001,P5 推播真 adapter 與不可用降級,P1,Codex2,Codex,backlog,UV-EXEC-006,N10,C023,apps/api/src/modules/multi-taxi/passenger-push.port.ts;apps/api/src/modules/multi-taxi/passenger-push.adapter.ts;apps/api/src/modules/multi-taxi/multi-taxi.module.ts;tests/unit/system-remediation/sr-push-001/;docs/04-uat/system-remediation-20260906/SR-PUSH-001.md,,docs/03-runbooks/system-remediation-20260906/SR-PUSH-001.md
SR-ENV-COPY-001,各app環境標示與使用者文案清理,P2,Claude2,Claude,backlog,,R27,C110,apps/platform-admin-web/lib/translations.ts;apps/ops-console-web/lib/translations.ts;apps/tenant-console-web/lib/translations.ts;apps/fleet-partner-portal-web/lib/translations.ts;apps/bank-console-web/lib/translations.ts;apps/enterprise-dispatch-web/lib/translations.ts;packages/ui-web/src/environment-badge/;tests/unit/system-remediation/sr-env-copy-001/;docs/04-uat/system-remediation-20260906/SR-ENV-COPY-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ENV-COPY-001.md
SR-READINESS-001,既有工作重用、外部條件與測試身份盤點,P0,Gemini2,Gemini,backlog,,R01;R29;N10,C001;C023;C124;C133,docs/04-uat/system-remediation-20260906/readiness.json;docs/04-uat/system-remediation-20260906/current-state.md;tests/unit/system-remediation/sr-readiness-001/;docs/04-uat/system-remediation-20260906/SR-READINESS-001.md,,docs/03-runbooks/system-remediation-20260906/SR-READINESS-001.md
SR-UAT-HARNESS-001,跨角色獨立測試租戶與証據 harness,P1,Codex,Codex2,backlog,,,,tests/e2e/system-remediation/shared/;playwright.system-remediation.config.ts;tests/unit/system-remediation/sr-uat-harness-001/;docs/04-uat/system-remediation-20260906/SR-UAT-HARNESS-001.md,,docs/03-runbooks/system-remediation-20260906/SR-UAT-HARNESS-001.md
SR-QA-IDENTITY-001,身份／租戶隔離／session與權限驗收,P1,Claude,Claude2,backlog,SR-UAT-HARNESS-001;SR-TENANT-LOGIN-001;SR-BANK-002;SR-MAIL-001;SR-PUBLIC-001;SR-READINESS-001,,C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011,tests/unit/system-remediation/sr-qa-identity-001/;docs/04-uat/system-remediation-20260906/SR-QA-IDENTITY-001.md;tests/e2e/system-remediation/sr-qa-identity-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-IDENTITY-001.md
SR-QA-TENANT-001,租戶日常工作、配額與整合設定驗收,P1,Gemini,Gemini2,backlog,SR-UAT-HARNESS-001;SR-TENANT-LOGIN-001;SR-MAIL-001;SR-MAIL-002,,,tests/unit/system-remediation/sr-qa-tenant-001/;docs/04-uat/system-remediation-20260906/SR-QA-TENANT-001.md;tests/e2e/system-remediation/sr-qa-tenant-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-TENANT-001.md
SR-QA-BOOKING-001,預約、來源歸屬、時窗與取消驗收,P1,Codex2,Codex,backlog,SR-UAT-HARNESS-001;SR-ENTERPRISE-DATA-001;SR-ENTERPRISE-FORM-001;SR-ENTERPRISE-SEARCH-001;SR-REFERRAL-001;UV-EXEC-015;SR-FLEET-DATA-001;SR-MAIL-002;SR-PUSH-001;SR-READINESS-001,,C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C030;C031;C032;C033;C034,tests/unit/system-remediation/sr-qa-booking-001/;docs/04-uat/system-remediation-20260906/SR-QA-BOOKING-001.md;tests/e2e/system-remediation/sr-qa-booking-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-BOOKING-001.md
SR-QA-DISPATCH-001,派車／改派／排班與自動超時驗收,P1,Claude2,Claude,backlog,SR-UAT-HARNESS-001;SR-OPS-MAP-001;UV-EXEC-016;SR-OPS-CONTRACT-001;SR-OPS-SHELL-001,,C035;C036;C037;C038;C039;C040;C041;C042;C048;C134,tests/unit/system-remediation/sr-qa-dispatch-001/;docs/04-uat/system-remediation-20260906/SR-QA-DISPATCH-001.md;tests/e2e/system-remediation/sr-qa-dispatch-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-DISPATCH-001.md
SR-QA-CALL-001,客服／錄音／客訴／事故工作閉環驗收,P1,Gemini2,Gemini,backlog,SR-UAT-HARNESS-001;SR-FLEET-CASE-001;SR-OPS-SHELL-001,,C043;C044;C045;C046;C047,tests/unit/system-remediation/sr-qa-call-001/;docs/04-uat/system-remediation-20260906/SR-QA-CALL-001.md;tests/e2e/system-remediation/sr-qa-call-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-CALL-001.md
SR-QA-DRIVER-001,司機開通／設備／班次／行程／收益驗收,P1,Codex,Codex2,backlog,SR-UAT-HARNESS-001;SR-DRIVER-WEB-001;SR-INVOICE-001;SR-MAIL-002,,C049;C050;C051;C053;C054;C055;C056;C057;C058;C060;C061;C062,tests/unit/system-remediation/sr-qa-driver-001/;docs/04-uat/system-remediation-20260906/SR-QA-DRIVER-001.md;tests/e2e/system-remediation/sr-qa-driver-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-DRIVER-001.md
SR-QA-SUPPLY-001,供給文件／資格／合約／退場驗收,P1,Claude,Claude2,backlog,SR-UAT-HARNESS-001;SR-FLEET-FORM-001;SR-ADMIN-VERIFY-001;SR-OPS-CONTRACT-001;SR-ENTERPRISE-SEARCH-001;SR-FLEET-CASE-001,,C063;C064;C065;C066;C067;C069;C070;C072;C073,tests/unit/system-remediation/sr-qa-supply-001/;docs/04-uat/system-remediation-20260906/SR-QA-SUPPLY-001.md;tests/e2e/system-remediation/sr-qa-supply-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-SUPPLY-001.md
SR-QA-FINANCE-001,金流／帳單／司機／通路結算一致驗收,P1,Gemini,Gemini2,backlog,SR-UAT-HARNESS-001;SR-FLEET-SETTLE-001;SR-BANK-003;SR-CHANNEL-001;SR-BANK-001;SR-MAIL-002,,C068;C074;C075;C076;C077;C078;C079;C080;C081;C082;C083;C084;C085;C086;C087;C088,tests/unit/system-remediation/sr-qa-finance-001/;docs/04-uat/system-remediation-20260906/SR-QA-FINANCE-001.md;tests/e2e/system-remediation/sr-qa-finance-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-FINANCE-001.md
SR-QA-REPORTS-001,九項監理資料與實際檔案驗證驗收,P1,Codex2,Codex,backlog,SR-UAT-HARNESS-001;SR-REPORT-001;SR-PLACARD-001;SR-ADMIN-VERIFY-001;SR-BANK-001;SR-ENTERPRISE-DATA-001;SR-IAM-001,,C090;C091;C092;C093;C094;C095;C096;C097;C098;C099;C100,tests/unit/system-remediation/sr-qa-reports-001/;docs/04-uat/system-remediation-20260906/SR-QA-REPORTS-001.md;tests/e2e/system-remediation/sr-qa-reports-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-REPORTS-001.md
SR-QA-GOVERNANCE-001,平台治理／區域／產品／通知與版本驗收,P1,Claude2,Claude,backlog,SR-UAT-HARNESS-001;SR-ADMIN-ADAPTER-001;SR-ENV-COPY-001;SR-ADMIN-VERIFY-001;SR-BANK-001;SR-ENTERPRISE-DATA-001,,C101;C102;C103;C104;C105;C106;C107;C108;C109;C110,tests/unit/system-remediation/sr-qa-governance-001/;docs/04-uat/system-remediation-20260906/SR-QA-GOVERNANCE-001.md;tests/e2e/system-remediation/sr-qa-governance-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-GOVERNANCE-001.md
SR-QA-WEBHOOK-001,API keys／Webhook簽章與故障恢复驗收,P1,Gemini2,Gemini,backlog,SR-UAT-HARNESS-001,,C111;C112;C113;C114;C115,tests/unit/system-remediation/sr-qa-webhook-001/;docs/04-uat/system-remediation-20260906/SR-QA-WEBHOOK-001.md;tests/e2e/system-remediation/sr-qa-webhook-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-WEBHOOK-001.md
SR-QA-CONCURRENCY-001,多實例冪等／背景執行／重啟故障驗收,P1,Codex,Codex2,backlog,SR-UAT-HARNESS-001;UV-EXEC-024,,C089;C116,tests/unit/system-remediation/sr-qa-concurrency-001/;docs/04-uat/system-remediation-20260906/SR-QA-CONCURRENCY-001.md;tests/e2e/system-remediation/sr-qa-concurrency-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-CONCURRENCY-001.md
SR-QA-UX-001,全角色響應式／可及性／多語／錯誤恢復驗收,P1,Claude,Claude2,backlog,SR-UAT-HARNESS-001;SR-ENV-COPY-001;SR-ENTERPRISE-FORM-001;SR-FLEET-FORM-001;SR-OPS-SHELL-001;SR-BANK-001;SR-ENTERPRISE-DATA-001;SR-IAM-001;SR-PLACARD-001;SR-PROOF-001,,C117;C119;C120;C121;C125,tests/unit/system-remediation/sr-qa-ux-001/;docs/04-uat/system-remediation-20260906/SR-QA-UX-001.md;tests/e2e/system-remediation/sr-qa-ux-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-UX-001.md
SR-QA-NEWFEATURES-001,請假／學院／Host端到端驗收,P1,Gemini,Gemini2,backlog,SR-UAT-HARNESS-001;SR-WIRE-001,,C012;C052;C059;C071,tests/unit/system-remediation/sr-qa-newfeatures-001/;docs/04-uat/system-remediation-20260906/SR-QA-NEWFEATURES-001.md;tests/e2e/system-remediation/sr-qa-newfeatures-001/,,docs/03-runbooks/system-remediation-20260906/SR-QA-NEWFEATURES-001.md
