
════════════════════════════════════════════════════════
  DRTS Cross-Surface E2E Suite
  API: http://localhost:3001
  Bearer auth: disabled
  Run ID: 478982
════════════════════════════════════════════════════════

▶ Running: E2E-010-governance-aware-billing-reporting
  ✓ PASS  E2E-010-governance-aware-billing-reporting

════════════════════════════════════════════════════════
  E2E Results: 1/1 passed

  Chain file:    /tmp/drts-e2e-chain-478982.json
  Evidence log:  /tmp/drts-e2e-evidence-478982.log

Evidence capture:
2026-07-27T01:57:20Z | E2E-010 | setup | tenantAdminUserId=10000000-0000-0000-0000-000000000901
2026-07-27T01:57:21Z | E2E-010 | VERIFY | ownerUserId=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | legacy_unmapped=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | approvalRequestId=approval-request-5348571f-cb69-4cbd-b00a-a18ea5eed1f0
2026-07-27T01:57:21Z | E2E-010 | VERIFY | approvalState=approved
2026-07-27T01:57:21Z | E2E-010 | VERIFY | quotaPeriodKey=2026-07
2026-07-27T01:57:21Z | E2E-010 | VERIFY | quotaUsageDelta=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | partnerProgramCode=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | eligibilityVerificationId=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | platformEarningsRef=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | auditId=NOT_POPULATED
2026-07-27T01:57:21Z | E2E-010 | VERIFY | reportArtifactId=ART-5c57bb20-cd39-4f53-b427-9e008e2467dd
════════════════════════════════════════════════════════

